CID,SMILES,sd_label,sd_value
16023265,COc1ccc(CNC(=O)c2ccc3c(c2)NC(=O)C(CS(=O)(=O)Cc2ccccc2Cl)N3)cc1,0,16.931199999999997
2201791,CC(C)(C)N1C(=O)NC(=O)C(=Cc2ccc(N3CCCC3)cc2)C1=O,0,16.92885
5715395,COc1cccc(C(=O)C=c2[nH]c(=O)c(=Cc3cccs3)s2)c1,0,16.122799999999998
5703201,CCOC(=O)C(C#N)=Cc1ccc(-c2cccs2)s1,0,15.692900000000002
23824623,CCOC(=O)N1CCN(C(=O)c2ccc3c(c2)NC(=O)C(CSCc2ccccc2F)N3)CC1,0,15.54945
6034561,CN(C)c1ccc(C=C2SC(=Nc3ccccc3)N(CCO)C2=O)cc1,0,15.44465
3094422,C=CCn1c(=C2SC(=S)N(C)C2=O)sc(=C2Sc3ccccc3N2CC)c1=O,0,15.366
20947539,Cc1[nH]nc(-c2ccc(S(=O)(=O)N3CCc4ccccc43)s2)c1C,0,15.2478
16029865,Cc1c(-c2nnc(SCC(=O)Nc3ccccc3F)o2)nnn1-c1ccc(F)cc1,0,15.14275
5895721,CN(C)c1ccc(C=C2SC(=S)N(CN3CCCC3)C2=O)cc1,0,15.0684
53120595,Cc1cc(C)cc(S(=O)(=O)N2CCC3(CC2)NCCN=C3NCc2ccc(F)cc2)c1,0,14.9565
6621925,CCOC(=O)Cc1nc(OCC(=O)c2ccc(F)cc2)cs1,0,14.9283
7109960,NC(=O)c1c(Nc2nc3c(F)cccc3s2)sc2c1CCCC2,0,14.90365
3840545,Cc1ccc(C2=NN3C(C2)c2ccccc2OC32CCCC2)o1,0,14.8984
2875329,N#CC1=C(N)Oc2c(sc3ccccc23)C1c1ccco1,0,14.8898
1804313,C#CCOc1c(Br)cc(C=c2sc3nc4c(C)cc(C)cc4n3c2=O)cc1OC,0,14.88375
6623290,O=C(O)Cn1ncc2c3ccccc3n(Cc3cccc(Cl)c3)c2c1=O,0,14.744750000000002
135522114,COc1cccc(C(O)=Cc2nc3ccc(C(=O)Nc4cccc(C)c4)cc3[nH]c2=O)c1,0,14.68105
1245041,Cc1ccc(C(=O)O)cc1-c1ccc(C=C2C(=O)c3ccccc3C2=O)o1,0,14.4841
5716716,COC(=O)C=C1SC(c2ccccc2)=NC1=O,0,14.39945
20916228,Cc1cccc(CNC(=O)CCc2ccc(-n3cnc4cccnc43)cc2)c1,0,14.291000000000002
6324535,COC(=O)CSCc1nc2ccccc2[nH]c1=O,0,14.2835
135417538,CCc1c(O)n2c(nc3ccccc32)[nH]c1=O,0,14.1464
730848,N#CC(=Cc1cccs1)C(N)=O,0,14.0981
3776488,CCCCn1c(O)c(C#N)c(C)c(N=Nc2ccc(OC)cc2)c1=O,0,14.06325
6490145,CCN(CC)C(=O)Cn1c(C)c(C=CC2=CCN(C)CC2)c2ccccc21,0,14.04895
45105207,CCC(=O)NC1=NC(=O)C(=Cc2cn(C(=O)CC)nc2-c2ccccc2)S1,0,13.877
135516116,CCOC(=O)C1=C(O)CSC1=NC(=O)c1ccc(OC)cc1,0,13.8172
50832504,Cc1ccc(-c2noc(-c3cc(N4CCCC4)nc4ccccc34)n2)cc1,0,13.775349999999998
5345891,NS(=O)(=O)c1ccc(-c2ccc(C=C3Sc4ccccc4C3=O)o2)cc1,0,13.72545
46324862,CCc1ccc(CNC(=O)CSc2nc3cccnc3n(CC)c2=O)cc1,0,13.66655
135777501,O=C(c1ccc2nc(C=C(O)c3ccc(Cl)cc3)c(=O)[nH]c2c1)N1CCN(c2ccco2)CC1,0,13.6064
