CID,SMILES,sd_label,sd_value
15945060,O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(O)c2)C(OC(=O)c2cc(O)c(O)c(O)c2)C(OC(=O)c2cc(O)c(O)c(O)c2)C1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,1,138.2
24983085,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCCN)n3cc(CCO)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCCN)n3cc(CC(C)CC)nn3)CC2)n1,1,129.8
25161401,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCN=C(N)N)n3cc(CC(C)CC)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(C(C)CC)n3cc(CCCCN=C(N)N)nn3)CC2)n1,1,128.9
25161400,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CO)n3cc(CCCCCN)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCN=C(N)N)n3cc(CC(C)CC)nn3)CC2)n1,1,128.6
24978588,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(C(C)CC)n3cc(CCCCN=C(N)N)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(C(C)CC)n3cc(CCCCN=C(N)N)nn3)CC2)n1,1,126.4
24978571,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCCN)n3cc(CCO)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCN=C(N)N)n3cc(CC(C)CC)nn3)CC2)n1,1,125.2
24983196,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CO)n3cc(CCCCCN)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(C(C)CC)n3cc(CCCCN=C(N)N)nn3)CC2)n1,1,123.3
24983039,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(C(C)CC)n3cc(CCCCCN)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(C(C)CC)n3cc(CCCCCN)nn3)CC2)n1,1,122.6
24978567,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)Cn3cc(CC(C)O)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCCN)n3cc(CC(C)CC)nn3)CC2)n1,1,122.3
25163022,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCCN)n3cc(CC(C)CC)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(C(C)CC)n3cc(CCCCN=C(N)N)nn3)CC2)n1,1,122.2
25163019,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCN=C(N)N)n3cc(CC(C)CC)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(C(C)CC)n3cc(CCCCCN)nn3)CC2)n1,1,121.8
24983040,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(C(C)O)n3cc(C)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(C(C)CC)n3cc(CCCCCN)nn3)CC2)n1,1,118.4
24978572,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CO)n3cc(CCCSC)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCCN)n3cc(CC(C)CC)nn3)CC2)n1,1,118.1
25163006,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCCN)n3cc(CC(C)CC)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(C(C)O)n3cc(C)nn3)CC2)n1,1,118.09999999999998
24983210,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)Cn3cc(CCCCCN)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CO)n3cc(CCCCCN)nn3)CC2)n1,1,116.9
24978594,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCSC)n3cc(CCO)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(C(C)CC)n3cc(CCCCCN)nn3)CC2)n1,1,116.3
24978562,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCCN)n3cc(C)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)C(CCCCN)n3cc(CCCC(=O)O)nn3)CC2)n1,1,113.6
301935,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc(OC)c4c3Oc3cc5c(cc3O4)CCNC5C2)CCN1C,1,110.1
249307,O=C(Nc1ccc(C2=NCCN2)cc1)c1ccc(Cl)c(C(=O)Nc2ccc(C3=NCCN3)cc2)c1,1,106.4
9115139,CC(NC(=O)c1ccccc1Cl)C(=O)OCc1cn2cc(Cl)ccc2n1,1,106.0
44202163,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)C(CCCCN)n3cc(C(N)C(C)CC)nn3)CC2)nc(N2CCN(C(=O)C(C(C)O)n3cc(C(N)CCCCN)nn3)CC2)n1,1,104.3
16745799,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)C(=O)c4c[nH]c5ccccc45)c3)cc2C(F)(F)F)CC1,1,103.7
2329736,CCN(CC)CCNC(=O)c1ccc(NC(=O)c2cn(-c3ccccc3)nc2-c2cccs2)cc1,1,102.59999999999998
1091334,CCSc1ccccc1C(=O)N1CCN(Cc2ccc3c(c2)OCO3)CC1,1,99.1
1833916,CCN(CC)CCOC(=O)c1ccc(NC=C(C#N)c2nc(-c3cccc(OC)c3)cs2)cc1,1,98.6
25075,CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,1,97.1
9551888,O=C(CN1C(=O)NC2(CCCC2)C1=O)NCCC1=CCCCC1,1,97.09999999999998
4917,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1,96.90000000000002
2761023,C1=C(c2c[nH]c3ccccc23)CCNC1,1,96.2
4827360,O=C(NNC(=O)c1ccccn1)c1ccc(OC(F)F)cc1,1,96.0
9560250,Cc1nc(N)sc1C(=O)NN=Cc1ccccc1[N+](=O)[O-],1,94.8
1627409,Nc1ccc(S(=O)(=O)NNC(=O)C(=O)NNc2ccccn2)cc1,1,93.40000000000002
18572156,Cc1ccc(NC(=O)c2cnc(SCC(=O)NCC3CCCO3)n(C)c2=O)cc1,1,93.1
11958490,Cc1ccccc1Nc1nc(-c2sc(NC(=O)c3ccccc3)nc2C)cs1,1,92.9
12004529,CC(=O)OCC1OC(OC2CC3C(C)(C)C(OC(C)=O)CCC3(C)C3CCC45CC4(CCC5C(C)CC(O)C(O)C(C)(C)O)C23C)C(O)C(O)C1O,1,92.9
1306535,Cc1cccc(C)c1OCc1nnc(SCC(=O)NCCc2ccccc2)o1,1,91.5
2384328,O=c1c(Cl)c(NCCCO)cnn1-c1nc2ccccc2[nH]1,1,90.7
2136935,COc1ccc(Cn2cc3c(-c4ccc(F)cc4)nnc-3c3cc(OC)c(OC)cc32)cc1,1,87.3
1540169,Oc1cccc(NC(=S)N=Nc2c(O)[nH]c3ccc(Br)cc23)c1,1,86.09999999999998
42601038,CNCC(Cc1cccc2ccccc12)NCC(CCSC)NCC1CCC(C(C)(C)C)CC1,1,85.8
24789250,COCCN1C(=S)NC(c2cccc(F)c2)C(C(=O)OC)=C1C,1,85.6
135688244,CN1CCc2c(sc(N=Cc3c[nH]c4ccccc34)c2C(N)=O)C1,1,85.40000000000002
9563146,CC(C=NNC(=O)c1sc(N)nc1C)=Cc1ccccc1,1,85.2
1791263,Cc1cccc(C)c1OCC(=O)NNC(=S)NC(=O)C1CC1,1,84.9
3574135,COc1ccc(C(=O)Nn2c(SCC(=O)c3ccccc3)nc3ccccc3c2=O)cc1,1,82.9
135445826,CCOC(=O)Cc1cc(=O)[nH]c(Nc2nc3ccccc3o2)n1,1,82.5
18572131,CC(=O)Nc1cccc(NC(=O)CSc2ncc(C(=O)Nc3ccccc3)c(=O)n2C)c1,1,82.1
16746309,CCCCCc1cc(=O)oc2c(C(CCN3CCCC3)c3ccc(N(C)C)cc3)c(OC)cc(OC)c12,1,81.7
44202267,c1ccc(-c2sc3ccccc3c2-c2ccc(OCCN3CCCC3)cc2)cc1,1,81.6
