CID,SMILES,sd_label,sd_value
54662322,COC(=O)C1C(CO)C2Cn3c(ccc(-c4ccccc4F)c3=O)C1N2Cc1ccncc1,1,122.981
60183589,N#CC1C(c2ccccc2-c2cccc(F)c2)C(CO)N1C(=O)C1CCCC1,1,113.7
60183585,O=C(NCC1CCC2C(CN2C(=O)NC2CCCC2)O1)c1ccc2c(c1)OCO2,1,111.94
54617700,CC1CCCCOC(CN(C)S(=O)(=O)c2cccs2)C(C)CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3cn(C)cn3)ccc2O1,1,111.271
44488740,CC1CCCCOC(CN(C)Cc2ccc(C(=O)O)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1,1,105.846
165308,O=C(Nc1ccc(C2=NCCN2)cc1)c1ccc(C(=O)Nc2ccc(C3=NCCN3)cc2)c([N+](=O)[O-])c1,1,104.148
265522,c1ccc2c(c1)c1c(c3ccccc32)CN2CCCC2C1,1,103.42199999999998
60183583,Cc1ccc(-c2ccccc2C2C(C#N)N(S(C)(=O)=O)C2CO)cc1,1,101.29699999999998
54662412,CCNC(=O)C1C(CO)C2Cn3c(ccc(-c4ccccc4F)c3=O)C1N2C(=O)CC,1,100.915
44502664,COc1ccc(NC(=O)N(C)CC2OCCCCC(C)Oc3ccc(NS(=O)(=O)c4ccccc4)cc3C(=O)N(C(C)CO)CC2C)cc1,1,98.834
54618336,Cc1noc(C)c1NC(=O)N(C)CC1Oc2cc(C#CCC3CCCC3)ccc2S(=O)(=O)N(C(C)CO)CC1C,1,98.58
60188215,Cc1ccc(-c2ccc(C3C4CN(S(=O)(=O)c5cccc(C)c5)CC3N4)cc2)cc1,1,97.624
3532885,CCN1CCN(c2cc(C)c3cc(NC(=S)NCCN(C)C)ccc3n2)CC1,1,97.582
2132539,Cc1ccc(-c2csc3nc4c5ccccc5c(NCCCN(C)C)nn4c(=O)c23)cc1,1,97.121
